Time_s,Voltage_mV
0.001,-0.12786
0.002,-0.130455
0.003,-0.132726
0.004,-0.134673
0.005,-0.132726
0.006,-0.123642
0.007,-0.111314
0.008,-0.103203
0.009,-0.09931
0.01,-0.096714
0.011,-0.096065
0.012,-0.100607
0.013,-0.104501
0.014,-0.102878
0.015,-0.101905
0.016,-0.101905
0.017,-0.095741
0.018,-0.092172
0.019,-0.095092
0.02,-0.094119
0.021,-0.092497
0.022,-0.09347
0.023,-0.096065
0.024,-0.088928
0.025,-0.081791
0.026,-0.084386
0.027,-0.089577
0.028,-0.083088
0.029,-0.074978
0.03,-0.076275
0.031,-0.082115
0.032,-0.098661
0.033,-0.104825
0.034,-0.102878
0.035,-0.102878
0.036,-0.114558
0.037,-0.129806
0.038,-0.13889
0.039,-0.133375
0.04,-0.125913
0.041,-0.124291
0.042,-0.130779
0.043,-0.138566
0.044,-0.139539
0.045,-0.138566
0.046,-0.135646
0.047,-0.13305
0.048,-0.132402
0.049,-0.130455
0.05,-0.129157
0.051,-0.131104
0.052,-0.137592
0.053,-0.14181
0.054,-0.136944
0.055,-0.13305
0.056,-0.141486
0.057,-0.150245
0.058,-0.153489
0.059,-0.148623
0.06,-0.136944
0.061,-0.12202
0.062,-0.106123
0.063,-0.094768
0.064,-0.089577
0.065,-0.088279
0.066,-0.088279
0.067,-0.094119
0.068,-0.092821
0.069,-0.091199
0.07,-0.093146
0.071,-0.091848
0.072,-0.090875
0.073,-0.084062
0.074,-0.081791
0.075,-0.075302
0.076,-0.064596
0.077,-0.04513
0.078,-0.015931
0.079,0.016187
0.08,0.06031
0.081,0.087562
0.082,0.108325
0.083,0.124871
0.084,0.127791
0.085,0.123249
0.086,0.120005
0.087,0.117085
0.088,0.110921
0.089,0.095672
0.09,0.086588
0.091,0.0801
0.092,0.068745
0.093,0.059985
0.094,0.050252
0.095,0.032733
0.096,0.002237
0.097,-0.027611
0.098,-0.051943
0.099,-0.071409
0.1,-0.086657
0.101,-0.10223
0.102,-0.112287
0.103,-0.111638
0.104,-0.111638
0.105,-0.123966
0.106,-0.130455
0.107,-0.134024
0.108,-0.13597
0.109,-0.14473
0.11,-0.166142
0.111,-0.187879
0.112,-0.200207
0.113,-0.206696
0.114,-0.210265
0.115,-0.209616
0.116,-0.202803
0.117,-0.194692
0.118,-0.197287
0.119,-0.196963
0.12,-0.19307
0.121,-0.192745
0.122,-0.199883
0.123,-0.211887
0.124,-0.224215
0.125,-0.23557
0.126,-0.235246
0.127,-0.229082
0.128,-0.225837
0.129,-0.230055
0.13,-0.234272
0.131,-0.238814
0.132,-0.238166
0.133,-0.242059
0.134,-0.246601
0.135,-0.249196
0.136,-0.239139
0.137,-0.226162
0.138,-0.214807
0.139,-0.216104
0.14,-0.219673
0.141,-0.223242
0.142,-0.22454
0.143,-0.22454
0.144,-0.229406
0.145,-0.22454
0.146,-0.216753
0.147,-0.210913
0.148,-0.209616
0.149,-0.201181
0.15,-0.190799
0.151,-0.190474
0.152,-0.181715
0.153,-0.184635
0.154,-0.188528
0.155,-0.186906
0.156,-0.186906
0.157,-0.192097
0.158,-0.194368
0.159,-0.187879
0.16,-0.175875
0.161,-0.167764
0.162,-0.169387
0.163,-0.19015
0.164,-0.234597
0.165,-0.298509
0.166,-0.373128
0.167,-0.487003
0.168,-0.657004
0.169,-0.856528
0.17,-1.057349
0.171,-1.242274
0.172,-1.376587
0.173,-1.442122
0.174,-1.440824
0.175,-1.353553
0.176,-1.197178
0.177,-0.966834
0.178,-0.65895
0.179,-0.267364
0.18,0.19657
0.181,0.673482
0.182,1.15299
0.183,1.617899
0.184,2.011758
0.185,2.36993
0.186,2.664513
0.187,2.855604
0.188,2.974994
0.189,2.998678
0.19,2.877016
0.191,2.625257
0.192,2.289471
0.193,1.917673
0.194,1.539062
0.195,1.176998
0.196,0.829533
0.197,0.538195
0.198,0.316609
0.199,0.160234
0.2,0.081073
0.201,0.052848
0.202,0.044737
0.203,0.049279
0.204,0.049603
0.205,0.039546
0.206,0.02008
0.207,-0.001656
0.208,-0.024042
0.209,-0.05097
0.21,-0.072707
0.211,-0.100283
0.212,-0.129806
0.213,-0.166791
0.214,-0.196639
0.215,-0.211562
0.216,-0.226486
0.217,-0.23849
0.218,-0.25828
0.219,-0.273853
0.22,-0.286506
0.221,-0.30662
0.222,-0.332575
0.223,-0.360151
0.224,-0.37183
0.225,-0.377021
0.226,-0.372155
0.227,-0.363071
0.228,-0.36372
0.229,-0.379617
0.23,-0.399731
0.231,-0.413357
0.232,-0.430877
0.233,-0.445152
0.234,-0.456182
0.235,-0.467862
0.236,-0.473701
0.237,-0.470133
0.238,-0.467537
0.239,-0.474675
0.24,-0.484083
0.241,-0.48603
0.242,-0.477594
0.243,-0.477594
0.244,-0.48019
0.245,-0.477919
0.246,-0.479541
0.247,-0.487327
0.248,-0.492194
0.249,-0.492194
0.25,-0.488625
0.251,-0.481488
0.252,-0.478243
0.253,-0.480514
0.254,-0.48603
0.255,-0.486678
0.256,-0.488949
0.257,-0.49706
0.258,-0.502575
0.259,-0.497385
0.26,-0.489274
0.261,-0.48311
0.262,-0.482461
0.263,-0.485381
0.264,-0.492843
0.265,-0.503549
0.266,-0.513282
0.267,-0.517824
0.268,-0.517824
0.269,-0.523339
0.27,-0.526908
0.271,-0.523339
0.272,-0.525286
0.273,-0.53145
